단축코드,종목명,종가,대비,등락률,순자산가치,시가,고가,저가,거래량,거래대금,시가총액,상장좌수
356540,ACE 종합채권(AA-이상)KIS액티브,104610,110,0.11,104547.27,104580,104625,104530,2421,253249820,789491670000,7547000
447430,ACE 주주환원가치주액티브,12465,20,0.16,12501.23,12455,12465,12420,1895,23586510,16204500000,1300000
416090,ACE 중국과창판STAR50,6855,-25,-0.36,7000.97,6955,7155,6855,22970,160693220,6169500000,900000
168580,ACE 중국본토CSI300,26925,-425,-1.55,27473.22,27350,27805,26925,27588,754094280,117393000000,4360000
219900,ACE 중국본토CSI300레버리지(합성),3005,-85,-2.75,3162.86,2970,3185,2970,28027,87089465,6611000000,2200000
272910,ACE 중장기국공채액티브,105070,60,0.06,105162.33,105060,105070,105060,2,210130,46546010000,443000
371870,ACE 차이나항셍테크,6620,-230,-3.36,6897.55,6850,6910,6620,39403,265826720,6620000000,1000000
354500,ACE 코스닥150,13190,90,0.69,13217.73,13150,13250,13040,8059,105725390,21104000000,1600000
305050,ACE 코스피,27270,100,0.37,27242.16,27130,27270,27080,107,2904215,6817500000,250000
457480,ACE 테슬라밸류체인액티브,11180,-60,-0.53,11171.17,11290,11290,11090,1543185,17284790405,348816000000,31200000
469170,ACE 포스코그룹포커스,6120,-165,-2.63,6125.98,6310,6350,6065,169498,1042850835,41616000000,6800000
261920,ACE 필리핀MSCI(합성),14925,-85,-0.57,14922.63,15010,15145,14925,2170,32445535,5970000000,400000
470320,BNK 24-11 회사채(AA-이상)액티브,52180,-5,-0.01,52183.75,52180,52180,52180,5,260900,111352120000,2134000
466810,BNK 2차전지양극재,6890,-185,-2.61,6875.05,7090,7140,6815,25888,178764210,5512000000,800000
457930,BNK 미래전략기술액티브,10660,40,0.38,10696.76,10625,10660,10625,3,31945,7462000000,700000
487750,BNK 온디바이스AI,7670,60,0.79,7681.23,7715,7745,7620,281,2158630,6136000000,800000
445690,BNK 주주가치액티브,13430,-5,-0.04,13436.28,13490,13490,13420,25,335845,14101500000,1050000
486240,DAISHIN343 AI반도체&인프라액티브,8120,20,0.25,8121.82,8200,8205,8120,612,4975830,43848000000,5400000
434960,DAISHIN343 K200,35465,145,0.41,35580.81,35315,35465,35315,3,106095,33691750000,950000
448570,FOCUS AI코리아액티브,12520,10,0.08,12547.04,12530,12530,12485,418,5234010,18154000000,1450000
285690,FOCUS ESG리더스,11240,0,0,11243.11,11240,11240,11240,9,101160,8430000000,750000
292730,FOCUS KRX300,17185,105,0.61,17164.12,17185,17185,17185,1,17185,10311000000,600000
293180,HANARO 200,35405,135,0.38,35468.82,35380,35425,35190,5997,212086590,460265000000,13000000
407310,HANARO 200 TOP10,8645,75,0.88,8644.43,8585,8645,8575,173,1486085,12535250000,1450000
332930,HANARO 200TR,44875,165,0.37,44954.17,44825,44935,44810,56,2512215,123406250000,2750000
304780,HANARO 200선물레버리지,18940,90,0.48,18921.77,19015,19015,18700,758,14328330,35986000000,1900000
486780,HANARO 200선물레버리지1.5X,12345,60,0.49,12416.08,12410,12410,12295,4649,57642105,6666300000,540000
306520,HANARO 200선물인버스,10130,10,0.1,10089.31,10130,10130,10130,15,151950,4558500000,450000
489570,HANARO 25-12 은행채(AA+이상)액티브,10010,10,0.1,10001.82,10020,10020,10010,55,550570,30630600000,3060000
448490,HANARO 32-10 국고채액티브,56480,180,0.32,56456.25,56440,56485,56395,8640,487652255,56254080000,996000
454320,HANARO CAPEX설비투자iSelect,14430,35,0.24,14465.23,14450,14500,14310,10491,151049295,121212000000,8400000
471290,HANARO CD금리액티브(합성),103290,15,0.01,103288,103285,103290,103285,430,44412990,11878350000,115000
395290,HANARO Fn K-POP&미디어,6025,25,0.42,6024.04,5985,6035,5930,34973,209004735,42476250000,7050000
395280,HANARO Fn K-게임,4345,25,0.58,4346.79,4280,4350,4255,546,2361965,13469500000,3100000
368190,HANARO Fn K-뉴딜디지털플러스,8050,95,1.19,8058.24,8045,8050,7945,4615,36870300,37835000000,4700000
402460,HANARO Fn K-메타버스MZ,7005,15,0.21,6997.78,6990,7005,6975,198,1386205,4903500000,700000
395270,HANARO Fn K-반도체,10280,45,0.44,10280.08,10340,10370,10220,194334,2000670300,196862000000,19150000
438900,HANARO Fn K-푸드,10230,-5,-0.05,10245.41,10275,10275,10180,40875,418148675,15856500000,1550000
367740,HANARO Fn5G산업,12890,-15,-0.12,12891.19,12915,12915,12890,22,283615,5156000000,400000
407300,HANARO Fn골프테마,5725,10,0.17,5736.55,5750,5750,5720,211,1207745,3148750000,550000
381560,HANARO Fn전기&수소차,8110,-120,-1.46,8099.21,8215,8215,8075,1203,9747545,18247500000,2250000
441540,HANARO Fn조선해운,13160,305,2.37,13200.75,12920,13280,12920,79271,1045887775,46060000000,3500000
381570,HANARO Fn친환경에너지,7660,-70,-0.91,7637.46,7745,7775,7565,552,4201680,4979000000,650000
473380,HANARO K-메디테크,9400,340,3.75,9444.52,9145,9405,9145,7364,68929100,4700000000,500000
479850,HANARO K-뷰티,11950,225,1.92,11976.34,11845,11960,11750,44486,529738890,11352500000,950000
346000,HANARO KAP초장기국고채,40030,5,0.01,40014.87,39945,40030,39945,3538,141427535,6644980000,166000
453060,HANARO KOFR금리액티브(합성),105880,20,0.02,105877.43,105860,105880,105860,98,10375480,12705600000,120000
304760,HANARO KRX300,16450,120,0.73,16452.28,16435,16455,16415,54,887455,5757500000,350000
332940,HANARO MSCI Korea TR,14955,65,0.44,14947.71,14950,14955,14920,654,9767955,177964500000,11900000
322400,HANARO e커머스,9415,165,1.78,9340.22,9265,9415,9255,1209,11228690,44721250000,4750000
322410,HANARO 고배당,13505,-20,-0.15,13497.81,13525,13525,13445,2429,32791230,5402000000,400000
473640,HANARO 글로벌금채굴기업,14100,110,0.79,14164.45,13990,14150,13940,5124,71995310,7755000000,550000
354350,HANARO 글로벌럭셔리S&P(합성),18575,45,0.24,18661.47,18690,18690,18460,4436,82143990,25447750000,1370000
464060,HANARO 글로벌반도체TOP10 SOLACTIVE,17055,365,2.19,17196.59,17195,17195,16995,3201,54537430,9380250000,550000
432850,HANARO 글로벌백신치료제MSCI,11850,40,0.34,11930.71,11840,11940,11840,543,6474725,4740000000,400000
461340,HANARO 글로벌생성형AI액티브,16520,210,1.29,16522.07,16325,16520,16325,13590,223860055,13216000000,800000
448510,HANARO 글로벌신재생에너지MSCI(합성),7540,50,0.67,7549.57,7495,7545,7490,256,1917600,4147000000,550000
424460,HANARO 글로벌워터MSCI(합성),13815,135,0.99,13825.72,13810,13820,13760,357,4930740,8289000000,600000
401590,HANARO 글로벌탄소배출권선물ICE(합성),9485,110,1.17,9587.77,9485,9620,9485,2484,23840655,9010750000,950000
314700,HANARO 농업융복합산업,9690,35,0.36,9667.92,9715,9725,9660,309,2992305,5329500000,550000
390950,HANARO 단기채권액티브,108135,10,0.01,108130,0,0,0,0,0,5731155000,53000
486830,HANARO 머니마켓액티브,50490,5,0.01,50482.28,50490,50490,50485,11805,595984010,109260360000,2164000
432840,HANARO 미국S&P500,14990,270,1.83,14963.97,14840,15010,14830,2255,33717610,8994000000,600000
419170,HANARO 미국메타버스iSelect,14755,285,1.97,14734.84,14740,14770,14740,245,3616095,5164250000,350000
472490,HANARO 미국애그테크,10895,10,0.09,11047.77,10895,10900,10835,1050,11393440,3268500000,300000
476260,HANARO 반도체핵심공정주도주,7180,35,0.49,7202.01,7195,7330,7155,6497,46796275,3231000000,450000
434730,HANARO 원자력iSelect,17500,55,0.32,17500.49,17600,17685,17455,38205,670400045,45500000000,2600000
456100,HANARO 유로존국채25년플러스(합성 H),51090,0,0,51205.19,0,0,0,0,0,3167580000,62000
491820,HANARO 전력설비투자,11540,-170,-1.45,11564.33,11710,11730,11470,15268,176438435,8655000000,750000
461500,HANARO 종합채권(AA-이상)액티브,110835,45,0.04,110825.51,110845,110845,110835,99,10973635,77141160000,696000
482870,HANARO 주주가치성장코리아액티브,10575,75,0.71,10561.43,10525,10575,10525,21,221930,13218750000,1250000
304770,HANARO 코스닥150,13150,105,0.8,13146.9,13090,13180,12975,356,4670920,15780000000,1200000
306530,HANARO 코스닥150선물레버리지,9245,140,1.54,9301.7,9300,9345,9055,5011,45899630,2403700000,260000
486790,HANARO 코스닥150선물레버리지1.5X,12985,115,0.89,13122.48,13085,13085,12890,25,323820,5453700000,420000
375760,HANARO 탄소효율그린뉴딜,8665,45,0.52,8658.84,8605,8665,8605,1082,9339310,8665000000,1000000
491700,HK 200,35130,320,0.92,35239.52,0,0,0,0,0,8782500000,250000
215620,HK S&P코리아로우볼,13195,-10,-0.08,13208.29,13195,13195,13195,1,13195,6333600000,480000
391670,HK 베스트일레븐액티브,9150,45,0.49,9172.8,0,0,0,0,0,3202500000,350000
472920,HK 종합채권(AA-이상)액티브,107430,115,0.11,107438.23,0,0,0,0,0,112264350000,1045000
391680,HK 하이볼액티브,7840,15,0.19,7858.61,0,0,0,0,0,3528000000,450000
472840,ITF 200,35255,130,0.37,35334.59,35215,35255,35000,378,13291700,12339250000,350000
483570,KCGI 미국S&P500 TOP10,10920,120,1.11,11022.69,10975,10975,10885,80736,882218050,12012000000,1100000
407170,KCGI 스마트커머스액티브,8305,125,1.53,8322.46,8250,8315,8250,610,5047060,4152500000,500000
407160,KCGI 테크미디어텔레콤액티브,8495,105,1.25,8525.87,8475,8515,8475,668,5679230,4672250000,550000
481050,KODEX 1년은행양도성예금증서+액티브(합성),1017630,90,0.01,1017540.85,1017630,1017635,1017630,5475,5571543690,1624137480000,1596000
069500,KODEX 200,35265,125,0.36,35343.16,35320,35345,35040,5409366,190770454065,6012682500000,170500000
226980,KODEX 200 중소형,13535,15,0.11,13536,13545,13550,13465,167,2254840,10828000000,800000
337160,KODEX 200ESG,14140,55,0.39,14153.91,14110,14150,14075,908,12810775,33936000000,2400000
363580,KODEX 200IT TR,12020,-25,-0.21,12040.32,12160,12160,12010,565,6796390,45676000000,3800000
278530,KODEX 200TR,12315,45,0.37,12345.06,12315,12345,12240,104912,1291853530,2262881250000,183750000
337150,KODEX 200exTOP,12465,80,0.65,12486.72,12450,12465,12450,23,286480,9972000000,800000
223190,KODEX 200가치저변동,11480,40,0.35,11481.13,11440,11500,11425,1506,17292175,13776000000,1200000
252650,KODEX 200동일가중,11335,-20,-0.18,11347.1,11390,11390,11295,594,6724060,6801000000,600000
360140,KODEX 200롱코스닥150숏선물,8750,-50,-0.57,8738.38,8785,8845,8650,264143,2317621455,24500000000,2800000
